solution|url|headers
amz sqs|https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-document-history.html|date#text_long
amz sns|https://docs.aws.amazon.com/sns/latest/dg/document-history.html|text_short#text_long#date
amz cloudwatch|https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/DocumentHistory.html|text_short#text_long#date
amz cloudtrail|https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-document-history.html|text_short#text_long#date
aws kms|https://docs.aws.amazon.com/kms/latest/developerguide/dochistory.html|text_short#text_long#date
aws step functions|https://docs.aws.amazon.com/step-functions/latest/dg/document-history.html|text_short#text_long#date
amz s3|https://docs.aws.amazon.com/AmazonS3/latest/dev/WhatsNew.html|text_short#text_long#date
aws iam|https://docs.aws.amazon.com/IAM/latest/UserGuide/document-history.html|text_short#text_long#date
amz rds|https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/WhatsNew.html|text_short#text_long#date
amz aurora|https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/WhatsNew.html|text_short#text_long#date
amz athena|https://docs.aws.amazon.com/athena/latest/ug/DocHistory.html|text_short#text_long#date
